date,time,merchant,description,amount,category
2025-06-01,20:27,Flipkart,Online shopping,171.06,Shopping
2025-06-02,07:03,IRCTC,Vacation travel,450.4,Transport & Travel
2025-06-02,12:40,PhonePe,Monthly subscription,2315.32,Subscriptions
2025-06-03,06:35,BigBasket,Groceries,4094.12,Shopping
2025-06-04,05:12,PhonePe,Mobile recharge,4753.26,Subscriptions
2025-06-04,11:34,Uber,Work travel,236.09,Transport & Travel
2025-06-05,04:23,Netflix,Monthly subscription,3663.09,Subscriptions
2025-06-05,11:58,PhonePe,Vacation travel,3130.35,Transport & Travel
2025-06-05,16:06,Swiggy,Food,654.59,Food & Dining
2025-06-06,01:57,Zomato,Food,3490.73,Food & Dining
2025-06-06,04:31,Swiggy,Food,4227.7,Food & Dining
2025-06-06,07:08,Uber,Travel,422.52,Transport & Travel
2025-06-07,15:28,Zomato,Grocery shopping,3971.18,Food & Dining
2025-06-08,03:22,Google,Play Monthly shopping,3326.84,Shopping
2025-06-08,05:58,Netflix,Pack upgradation,1739.05,Subscriptions
2025-06-08,18:40,IRCTC,Vacation travel,1131.91,Transport & Travel
2025-06-09,02:35,Amazon,Online shopping,4232.44,Shopping
2025-06-09,20:29,Uber,Monthly subscription,2905.5,Transport & Travel
2025-06-09,22:50,Uber,Travel,2584.49,Transport & Travel
2025-06-10,22:19,Amazon,Online shopping,159.0,Shopping
2025-06-10,23:06,Flipkart,Online shopping,3824.42,Shopping
2025-06-11,04:01,BigBasket,Online shopping,2016.35,Shopping
2025-06-11,04:43,Zomato,Food delivery,3959.87,Food & Dining
2025-06-11,12:44,Zomato,Food,3218.46,Food & Dining
2025-06-12,12:36,Amazon,Travel booking,3979.04,Shopping
2025-06-12,21:09,Amazon,Online shopping,389.66,Shopping
2025-06-13,12:11,Swiggy,Monthly subscription,4018.63,Food & Dining
2025-06-15,02:35,PhonePe,Mobile recharge,623.91,Subscriptions
2025-06-15,09:47,Flipkart,Online shopping,3974.17,Shopping
2025-06-15,12:22,Zomato,Food,3320.05,Food & Dining
2025-06-16,18:48,PhonePe,Groceries,263.59,Subscriptions
2025-06-17,00:28,Amazon,Online shopping,586.52,Shopping
2025-06-17,19:37,Uber,Travel,4496.65,Transport & Travel
2025-06-19,03:57,Google,Play App purchase,1506.0,Other
2025-06-19,07:49,Swiggy,Grocery shopping,3601.08,Food & Dining
2025-06-20,07:51,Uber,Travel booking,3341.98,Transport & Travel
2025-06-20,09:25,Zomato,Monthly subscription,4277.88,Food & Dining
2025-06-20,11:19,Netflix,Monthly subscription,835.56,Subscriptions
2025-06-21,15:06,BigBasket,Food delivery,4694.26,Food & Dining
2025-06-22,04:24,IRCTC,Monthly subscription,3142.96,Transport & Travel
