description,category
Online shopping,Shopping
Vacation travel,Transport & Travel
Monthly subscription,Subscriptions
Groceries,Shopping
Mobile recharge,Subscriptions
Work travel,Transport & Travel
Monthly subscription,Subscriptions
Vacation travel,Transport & Travel
Food,Food & Dining
Food,Food & Dining
Food,Food & Dining
Travel,Transport & Travel
Grocery shopping,Food & Dining
Play Monthly shopping,Shopping
Pack upgradation,Subscriptions
Vacation travel,Transport & Travel
Online shopping,Shopping
Monthly subscription,Transport & Travel
Travel,Transport & Travel
Online shopping,Shopping
Online shopping,Shopping
Online shopping,Shopping
Food delivery,Food & Dining
Food,Food & Dining
Travel booking,Shopping
Online shopping,Shopping
Monthly subscription,Food & Dining
Mobile recharge,Subscriptions
Online shopping,Shopping
Food,Food & Dining
Groceries,Subscriptions
Online shopping,Shopping
Travel,Transport & Travel
Play App purchase,Other
Grocery shopping,Food & Dining
Travel booking,Transport & Travel
Monthly subscription,Food & Dining
Monthly subscription,Subscriptions
Food delivery,Food & Dining
Monthly subscription,Transport & Travel
